Hash function: SHA1
Alphabet:abcdefghijklmnopqrstuvwxyz0123456789,;:$.
Alphabet length:41
82257210 895068
47287570 895068
56091167 904975
93681277 904975
29460577 911922
92826946 911922
44796921 911922
8287081 917804
6667093 917804
103944407 917804
11333098 917804
107446721 917804
29118646 917804
22438182 917804
13655394 917804
48414924 918974
55840103 925113
49840591 938331
51740762 940333
79393778 953368
84982992 953368
3204384 956858
46900180 956858
97052641 956858
45119231 956858
53963553 956858
99744041 959690
17382997 969440
15046270 980746
104085428 1001534
98435313 1001534
60448669 1023438
25908661 1042294
81499810 1054031
38581257 1054031
103708135 1104209
32683513 1105809
87000021 1109520
6000760 1109520
39772137 1109520
29115136 1109520
82327988 1115453
82677657 1115453
104647258 1115453
82591456 1116876
35060848 1122766
28290558 1144813
10533903 1144813
73827048 1145531
48816833 1157562
75430982 1165916
30080132 1170059
3486087 1173551
48326258 1185245
92799952 1189830
57134737 1189830
85874000 1194935
97753772 1232645
5515595 1232645
38764123 1246398
97759354 1248838
31192812 1254389
69485420 1255486
37149524 1262370
32771685 1262370
90243326 1266358
110756846 1277269
94937481 1288221
2473115 1288221
57590360 1295821
25117138 1315232
58774193 1319746
59793804 1327167
2435218 1327975
75974509 1348707
35471840 1384294
20038973 1384294
46025446 1384294
76539531 1399171
17319190 1430407
76271950 1431196
3646435 1431196
22952736 1433194
72560118 1433194
82382321 1433194
102396350 1433194
11645124 1433194
22096810 1433194
24388944 1433194
21681565 1479715
51204304 1479715
38841006 1538275
53068826 1549144
64800513 1549144
95945887 1551084
69696729 1551919
55496549 1554901
27862157 1555354
36706521 1555354
74316996 1555354
52480009 1565059
82725369 1569901
26219210 1569901
70380240 1588145
96042418 1588145
20923494 1588145
44514812 1590187
61340726 1590187
46798917 1596644
66632934 1597228
26998349 1616903
61329391 1616903
18640137 1616903
41453908 1630610
92628581 1645693
6784711 1646164
111231527 1648685
79350549 1652357
42692244 1652357
4308666 1659601
75039777 1659601
15798127 1666832
93165429 1714144
27889553 1714433
93956844 1714433
73213074 1714433
68028728 1714433
33095937 1714433
19078962 1714433
35244816 1717338
45294001 1717338
95341596 1717338
64588428 1717338
38395107 1729532
51056325 1737458
108029974 1748333
70739482 1755636
77204041 1756398
83881813 1756398
56835119 1756398
104063363 1765899
60366957 1765899
68652568 1765899
83662178 1768989
55690259 1769533
107144432 1769533
22825283 1771891
45943440 1773096
106237428 1773096
14927440 1792102
110184256 1792102
65822844 1792102
38779463 1792102
14234695 1792102
7418489 1792102
4626319 1796962
86868400 1796962
4821849 1796962
54679018 1796962
8449039 1796962
114908515 1827677
52003878 1827677
98754898 1837512
83020610 1837512
82669172 1845098
88704266 1853683
104812530 1853683
43399477 1873160
12088926 1875146
107542952 1875146
59363630 1879630
39315325 1879630
1393155 1883721
26019996 1883721
60636516 1884409
16188566 1901766
59860150 1901766
11861679 1901766
13130838 1901766
55004104 1901766
110516293 1901766
32088559 1901766
19379115 1901766
5946543 1901766
35203004 1901766
98657148 1901766
21314367 1901766
70041954 1920214
2045952 1920214
94365179 1947801
41836798 1956498
71866356 1961928
70705017 1992901
72578626 1992901
55603936 1998689
16804678 1998689
79638674 2007631
69108948 2007631
17016373 2007631
37479061 2007631
9245263 2019485
94710040 2019485
58041977 2027484
108499194 2051103
100657532 2053509
72429317 2053509
88913857 2053509
37217107 2053509
108912559 2065317
75104722 2070375
64653936 2075203
82459735 2075203
5089664 2078938
70618813 2078938
67531053 2080604
107910984 2080604
88684427 2080604
77263627 2080604
54687908 2086832
41433616 2086832
64273757 2086832
43983354 2089810
63953553 2089810
10309190 2089810
46634570 2089810
69841159 2089810
83311797 2089810
35591389 2089810
65240497 2122172
36318265 2122172
27642347 2122172
33062529 2123682
50036786 2124232
71455570 2124232
95831771 2124232
86948250 2134511
56863573 2139558
83451580 2139558
112660379 2161132
12362365 2169967
106815345 2169967
112936495 2169967
23767490 2174923
27832596 2174923
32432862 2179436
4819150 2179436
1163271 2179436
62268610 2180099
53507946 2182975
42208906 2182975
2150434 2183106
14642341 2183106
44236818 2186900
4789525 2186900
35096237 2186900
4156586 2204185
73751756 2204185
31424990 2204185
66929259 2207416
81389194 2214321
11258208 2214321
35956199 2214323
59212117 2249398
71279578 2249398
43949291 2249398
26300491 2249398
41289985 2254579
8123513 2261693
36968360 2263530
93076233 2280345
36149818 2281342
68704681 2284529
111866723 2288408
81406037 2288408
5814021 2288408
24413282 2288408
51688123 2292758
115647767 2293188
42368894 2299664
55604044 2299664
55107595 2299664
86372048 2308275
83730140 2321548
19791434 2321548
16312600 2321548
50919779 2321693
113207115 2321693
40695213 2324643
45381719 2337508
24653139 2350440
65621185 2376966
82787578 2376966
66672636 2377226
18924542 2377226
1091647 2409602
84056043 2425229
6218029 2425768
49744131 2427353
58608204 2428366
106971642 2428366
18269999 2428366
70152750 2440882
86487761 2440882
20047273 2440882
56781077 2453803
109732866 2453803
15237234 2453803
31781565 2458372
66254895 2463781
35639708 2463781
82994957 2463781
3272030 2463781
19511493 2463781
53782413 2495695
51759164 2506314
76516873 2506314
77686861 2513335
36037152 2513335
96099932 2513335
22919734 2538201
52702492 2548531
97960491 2548531
68623062 2548531
113990011 2568200
101454996 2568200
77094152 2568200
18604399 2568200
42847642 2581160
63842557 2586875
29489943 2632093
12444861 2632093
69611139 2632093
93622691 2640935
5119928 2640935
69149662 2643086
51605648 2647080
19285554 2647080
109492420 2647080
80933969 2647080
21031623 2647080
25404766 2647080
70200384 2665215
75364321 2665215
12912400 2670218
31929046 2670218
91541436 2670959
34052646 2670959
44017595 2670959
16084805 2670959
91476984 2670959
37485381 2670959
4206038 2690051
5336419 2698977
95977412 2698977
15375907 2698977
103087078 2709428
108520213 2709428
51000202 2710489
11754175 2717423
46414555 2729398
95881902 2729398
29381101 2741792
50873741 2752015
20172790 2781950
4795927 2781950
18449918 2781950
115243541 2781950
23076074 2781950
74366426 2790225
12616083 2790225
23636075 2792925
94066959 2792925
72828994 2831035
114660085 2831035
82910358 2839996
98082506 2839996
110842600 2855558
111043533 2855558
27699129 2865154
110447986 2876714
70234933 2880477
42101222 2880477
61463870 2880936
8670281 2880936
24271606 2881108
42593462 2881108
77726837 2883580
97002933 2919506
19105524 2919506
52001650 2927015
46306214 2941162
14349331 2941162
287515 2944271
68630908 2944271
100338086 2955865
68166625 2959006
73887520 2959006
92452455 2959006
10449479 2959006
54144243 2959444
36455317 2959444
62870108 2975490
90136622 2975490
81011746 2985495
19660610 3001128
94529153 3001128
88188604 3001128
84854469 3019708
37518737 3019708
87539049 3021383
101180119 3037940
108077544 3048137
66643087 3048137
44920750 3048137
61493406 3048137
30424997 3048137
32261268 3054430
33268209 3062863
12118225 3062863
50992788 3077803
41880978 3087462
65248078 3088742
37612160 3088742
14830140 3090027
85858326 3090733
97851845 3092431
6713219 3092431
2232706 3101633
16733695 3101633
26680423 3113305
82867868 3121390
52114327 3126762
95620280 3150693
4294257 3150693
9890830 3158565
55687628 3164805
61440521 3164805
78797988 3164805
73473609 3164805
84144045 3164805
13952606 3164805
5209689 3170341
21613119 3170341
63381465 3175032
74654832 3175032
74532987 3176250
46354842 3176250
43324187 3176250
10245950 3204840
103390014 3204840
4742030 3214908
49332630 3235219
42478052 3235219
2263639 3235219
51009893 3235219
37342421 3241061
109416159 3242188
42006812 3250143
57909057 3250143
25419539 3250143
97578465 3261218
29348102 3269209
108750161 3280608
61592530 3280608
20515704 3280608
65560939 3291155
44536089 3294177
34040472 3294177
103091522 3299528
34892 3330397
55367450 3342878
35555907 3349774
6979473 3362756
20307104 3368193
75141381 3392331
23069334 3407331
22318937 3413621
109899203 3413621
24218679 3413621
1581373 3413621
59171172 3413621
57944810 3413621
94970243 3422604
4520470 3428815
56431904 3437457
91183877 3437457
63246963 3442017
27353690 3452500
46770076 3452500
16559764 3452500
84389501 3452937
101215770 3452937
309903 3452937
83745084 3473325
87659776 3473325
107145780 3473350
83472283 3477024
50740785 3488240
96501112 3490176
98645469 3490176
32186 3498019
54461818 3506998
70656595 3506998
106060417 3510356
7173335 3510356
96922876 3557493
65526939 3565779
72636194 3565779
103014813 3565779
105880788 3566773
82647324 3566773
21330631 3566773
72586121 3566773
26430934 3566773
11345520 3567402
62856498 3577418
110909669 3577418
91031418 3582438
89149202 3582438
14314062 3612313
89064416 3612313
22526878 3617885
86125576 3617885
96241736 3617885
11847540 3617885
19201577 3630146
4657580 3630146
87495970 3630146
100113776 3630146
67463473 3630146
91411814 3630146
18565060 3630146
50002939 3630146
53844757 3630146
5247646 3630146
44829235 3633423
67141918 3633423
61190270 3633453
105194167 3633453
66388935 3634643
41917125 3634643
16463767 3651037
15684375 3651037
22271504 3651037
33676699 3651037
39819387 3651037
39001745 3658101
110598604 3658101
114731029 3665658
72908906 3665658
77020268 3689547
627357 3690770
107138354 3694986
3115250 3694986
45599379 3695717
73551030 3701666
14935622 3703927
47891426 3718640
15751088 3718640
30373195 3728076
32975572 3746830
80784504 3764120
92431889 3766724
65374792 3766724
5545667 3766724
109958758 3768487
61600101 3768487
88707220 3768761
42297809 3771694
2389499 3771694
109780929 3771694
29670133 3781621
25486017 3781621
32579334 3781621
69393876 3784920
114564559 3784920
4183543 3784920
18310367 3792975
73112444 3809079
30035011 3818327
77269340 3819365
98498164 3833381
112823562 3849094
36212238 3849094
49201672 3849094
73649444 3854813
63402778 3866066
41420587 3926850
19835088 3938541
112331199 3951463
53643226 3951463
75918610 3958702
63036376 3973489
58557503 3978313
6999069 3992148
99697315 3992148
27241568 3992148
22935091 3999403
51688628 4017085
20990406 4024176
78828887 4024176
97162684 4024176
82318916 4029340
108476820 4029340
35596274 4045263
98514767 4045263
69222831 4057282
83806691 4057282
105856531 4063786
52855204 4063786
64651457 4070924
91902835 4086245
1795201 4128384
76012688 4128642
114563382 4134419
59984639 4185726
105519834 4185726
48346500 4187254
79370431 4191461
1776239 4191461
58779735 4191461
32441718 4191461
86454756 4191461
31399899 4198173
7244000 4202733
62822757 4202733
10996898 4203309
42442276 4205177
81018711 4212235
79966180 4214414
13385100 4214414
54012527 4224220
9098527 4224220
27955622 4224220
16125393 4228012
113950185 4230421
48821155 4230421
90523595 4230421
63285054 4247585
50275095 4257725
53897338 4264600
89660067 4264600
88659573 4264600
96835352 4264600
85440337 4277579
40033513 4278517
65737380 4281229
22551407 4281229
66613201 4286015
77501445 4286015
12063073 4296050
8960244 4296050
77397049 4296050
52940014 4299028
80840748 4299028
69625599 4299028
76257166 4302646
91035825 4302646
71487235 4302646
106028710 4307056
30940488 4307056
36474498 4308202
72530927 4309379
55169987 4313727
59296279 4322153
94991805 4339970
2908226 4339970
43979607 4342069
55001409 4346550
54228638 4346550
35143924 4361404
89188422 4364217
73113957 4371382
70676477 4385920
77395317 4412118
64826161 4412118
66330369 4412118
34659255 4412118
47194868 4412118
14062972 4412118
76238362 4412173
26694231 4420265
70886567 4423142
41872726 4446668
48641879 4446668
2840274 4446668
57463893 4450527
35022612 4487832
15154278 4508072
93263029 4512519
36546092 4512519
115495803 4531414
42113330 4558050
37631711 4558050
13063920 4589047
78073000 4591064
71424934 4591064
86239057 4591064
73320737 4591064
17744636 4591064
110197983 4596042
105965116 4597106
10427674 4597106
21588384 4605604
102294185 4606800
751555 4611573
63692455 4624690
80114915 4627034
65069613 4639465
98955371 4641031
48854951 4677229
74758521 4677229
16201804 4684217
75061288 4684217
84378688 4684217
9767946 4684217
47949063 4692232
2988700 4714078
91990757 4714078
12722868 4714078
24212511 4726761
108502277 4738246
89407509 4738246
62053817 4738246
50735124 4765599
36940122 4765599
79654408 4765599
28248958 4765599
11972977 4770117
39425491 4771599
56137981 4780553
43766046 4781113
11279774 4786927
81061369 4786927
112372924 4812994
54125364 4812994
99238939 4814840
32830552 4817033
11628810 4840734
33438774 4860418
77946820 4861582
107832676 4865633
35711919 4865633
59676620 4865633
81581979 4865633
47300202 4869314
53233100 4870391
71900779 4871952
3169829 4871952
70968138 4882869
113365298 4882869
7034401 4882869
87659433 4882869
55294264 4887367
41383650 4887367
93201418 4890099
4680084 4890099
75951248 4890099
11075268 4892033
2399081 4892033
113595100 4904650
60647664 4904650
13084494 4908297
102892549 4911521
100255337 4911521
56828628 4911521
55010538 4911521
113616893 4911521
2548060 4911521
98685815 4940044
102000917 4943836
31131643 4943836
13122885 4943836
113151977 4944974
53151639 4944974
71673160 4945050
79122529 4945050
15971234 4945050
99237185 4945050
94677641 4945050
13758845 4958682
499838 4966471
83205412 4988371
106969970 4999477
70098414 5009452
75720249 5017381
45475507 5034736
10096685 5037788
54572158 5037788
105855644 5037788
81130723 5041038
6926979 5059018
105543388 5071676
8674352 5121269
88358144 5127083
15637584 5129301
78955877 5155922
69634292 5175219
91855666 5180904
68220936 5180904
64010458 5183831
52926438 5187360
62370770 5187360
104683153 5187360
106031696 5195135
20715804 5195135
85198160 5195135
38615518 5197747
89320765 5197747
80354214 5197747
60041851 5197747
63996350 5199257
13353412 5214185
23691306 5214185
102763395 5214185
22137365 5223417
25896760 5224250
10658820 5225298
97046889 5225298
40939147 5225298
52459394 5225298
82884021 5225298
74639690 5225298
29557533 5233617
77757718 5233617
56638135 5233617
103765621 5253189
88930733 5255668
37816435 5255668
9051249 5265218
23371482 5269781
82903575 5269781
40687608 5269781
98218041 5296479
97989929 5299242
82856205 5299242
4224906 5299242
25824995 5322318
93397279 5330266
61493880 5337375
43374483 5354160
32239912 5370516
83716426 5370516
6870884 5370516
94636653 5372848
52139080 5377187
6547833 5377187
99366342 5377187
5114786 5379567
58170066 5401489
21265024 5401489
109500124 5418068
64950965 5419244
26528290 5419244
11322368 5419244
6501241 5419244
85919671 5419244
111516482 5419244
1012240 5434639
38651158 5445901
108667526 5448279
107452064 5448279
39954911 5448279
38470290 5448279
63551366 5448279
7192051 5454667
107078345 5467841
42290108 5469322
72245856 5471233
56706864 5471233
15612990 5471233
22884667 5473497
97304589 5473497
30337788 5473497
94839341 5475070
34598202 5475070
19204244 5475070
33423508 5475070
58800771 5487866
77413388 5487866
96265108 5499162
112990186 5503516
46246213 5504257
49691565 5504257
92006074 5515878
163961 5525098
110247161 5525098
46590008 5525098
22887187 5525098
97144607 5558907
83198715 5559376
781107 5559376
26206978 5559508
75358867 5559508
73102937 5559508
60190377 5559520
14246315 5559520
33496235 5562226
113666331 5568117
114632741 5568117
77480619 5568117
46165394 5568117
60782418 5612952
54916964 5612952
16286495 5623846
115369868 5631355
50637412 5646407
10101829 5646407
88585127 5646407
36977944 5706349
102592394 5706349
3583680 5760930
28436122 5764773
114713124 5775109
45851399 5792426
14596925 5793715
102149660 5794121
42303941 5794121
54672661 5796050
39350992 5796050
75102197 5800367
43749816 5800367
69382593 5800367
84067270 5800367
34287836 5805685
106705017 5805685
95365392 5805685
18936604 5809226
100360002 5809226
93418233 5822026
53357760 5822026
55967105 5824256
81001466 5838399
91998469 5838399
87968875 5840338
105766503 5850710
35545368 5850710
113142611 5876392
44338439 5901626
113445253 5903017
98489104 5903017
106522164 5909713
92573880 5910795
6036259 5929111
43136800 5929111
105790546 5936932
18635041 5936932
75665768 5936932
48751314 5944952
27140581 5944952
73078083 5944952
18673750 5944952
66129434 5988011
67679512 6000629
52289279 6000641
3513299 6016027
92544193 6016027
37060326 6016027
52262216 6016027
55454830 6016027
5549018 6018959
9359408 6041685
5064615 6041685
54576668 6041685
106152331 6041685
29062425 6041685
95683016 6041685
95791727 6049540
60715064 6049540
5161706 6049540
4802923 6049540
80139430 6059984
61735190 6059984
103063809 6074824
98483336 6074824
33728521 6074824
35666362 6075146
25556473 6075146
82025365 6088425
84196116 6088425
84900557 6088425
49634293 6102000
22759451 6102000
56288386 6106309
43123944 6106309
102115996 6112261
4215846 6112261
12354592 6113566
22126860 6113566
58046129 6113566
45515471 6113566
107195750 6113566
785866 6133661
94857458 6156532
10721703 6156532
67380282 6201987
8256440 6208465
11422848 6209961
26481629 6209961
68324367 6209961
81148139 6209961
81161301 6209961
5054313 6216551
109738403 6219180
97104637 6220599
79189667 6220599
49271805 6248293
112873478 6276068
31962310 6276068
97052008 6276068
112967422 6276068
55376682 6276068
81987412 6284843
107060931 6299893
108192229 6304979
30491158 6307348
65833593 6315839
2162337 6330981
16030412 6348344
45580043 6348483
59655883 6358888
33974151 6367960
84028928 6367960
87349553 6367960
28465154 6370474
107166380 6370474
38871304 6380335
88430877 6380335
108802965 6389059
30212568 6389059
70127597 6389059
5882035 6389059
9411961 6392042
83655943 6392042
3614363 6402181
108118001 6402181
60302730 6402652
96877277 6402652
52155710 6403182
69746 6403182
851272 6403182
68862874 6458170
88802889 6503857
46024642 6503857
105745478 6505243
76346034 6529369
20630492 6533308
35615487 6555837
9006005 6557959
108266304 6557959
50383674 6600265
12548926 6619612
112746512 6620659
29089949 6628747
60776726 6633076
82561452 6633076
12417166 6633076
93877498 6633076
59268657 6641231
105370884 6646168
51415255 6646168
89695174 6646168
19234658 6646168
111937767 6650606
76327736 6652995
59995357 6663621
100224309 6674442
44020589 6679471
39090561 6684841
81893978 6684841
46356250 6684841
6572820 6686476
234078 6693240
94662438 6693240
42706958 6698799
111231549 6713041
114252478 6713041
52109234 6713041
83417121 6716287
41422012 6719398
98966910 6719398
33150791 6727887
31030535 6730976
87726861 6730976
58889256 6730976
76071127 6736323
2493325 6736323
71470167 6736323
98455871 6736731
92949192 6747190
77318354 6752025
8542645 6766962
112999050 6777287
68073678 6778538
15809463 6778538
82769307 6795564
85568877 6795564
87688651 6795564
4700842 6797515
18297146 6797515
91711451 6797515
89330693 6802286
113942690 6802286
4219720 6802286
46726072 6802286
61067548 6802286
95675883 6808989
344037 6815275
2192674 6829869
102112026 6829869
82004740 6829869
52143279 6829869
39786031 6830814
94190600 6855073
84325369 6855073
26877281 6855724
63352363 6860384
50645079 6860384
106816727 6872102
9338369 6877124
32314165 6877124
84611272 6881643
24560588 6889469
41992830 6889469
60432757 6895145
1554518 6900873
75431574 6900873
91223 6928415
10151163 6928415
28813524 6928415
6475917 6972834
105152133 6991697
31056030 6991697
35366902 6991697
82993259 6992893
104315050 7019328
114706928 7021591
17921527 7029133
5573157 7029133
66778486 7029133
113199801 7029133
111393474 7029133
2601840 7029133
72895496 7029133
65065003 7029133
28954541 7029133
48280335 7031442
67026917 7040212
92069816 7040212
113735462 7055110
65873434 7055110
55390171 7068189
61592241 7069391
65461727 7069391
25353626 7094839
62579964 7108102
102108666 7108102
33073703 7108102
70886363 7108102
32065160 7108102
42698737 7119202
99858536 7134593
26419582 7156439
103211920 7176116
7895161 7181762
840261 7204147
81873044 7204147
113415601 7204147
16711895 7222250
32822009 7222250
89383835 7225288
60111388 7225288
99830089 7225288
24170691 7240893
8930984 7243915
67723673 7257126
87562898 7290214
55141244 7314208
4654563 7314208
18106787 7314208
4825513 7317394
35853493 7318250
35603503 7319745
31636559 7320083
81774674 7320968
61183433 7320968
105841159 7320968
105860434 7347257
53322250 7347257
58549070 7359889
25550959 7377983
41268632 7391258
71769879 7417878
69877125 7439023
83323649 7439023
39345653 7456431
67558458 7478599
107704205 7478599
40155368 7478599
105243602 7479306
74063804 7479306
90588457 7484533
55748419 7484533
41761563 7501620
113591245 7501762
49995056 7501762
38973591 7501762
38427132 7501762
115647867 7501762
31982941 7503793
58937979 7503793
22021266 7503793
16086653 7505154
67727995 7517805
58941718 7517805
112668917 7527747
79017818 7527747
19951634 7527747
14556468 7531622
62784093 7531622
108109536 7531622
12642271 7531622
55707130 7531622
82483162 7531622
115142271 7531622
3006566 7531622
22207465 7535789
62727539 7535899
111888086 7535899
31210571 7546694
66778392 7548466
38941893 7552936
107347940 7552936
5460047 7560857
101775230 7560857
63148022 7595179
86614357 7613560
4532187 7613560
69096156 7629344
40392461 7632380
32224358 7635394
66280857 7635467
69344530 7635840
59217190 7645246
31130724 7645246
38453811 7658660
67994712 7658660
100843715 7658660
17176312 7664637
63671921 7664822
112990318 7664822
42176784 7664822
56760075 7666596
28554065 7716882
81795044 7716882
78467800 7719081
16473750 7741227
114367824 7741227
91313901 7752655
22906824 7760764
106848641 7760764
53204761 7760764
52444023 7778323
28587748 7788492
49695125 7788492
30811688 7792849
101006969 7792849
23132326 7792849
55234116 7792849
39852822 7793272
70103098 7821795
44648591 7832901
24735662 7833679
63737045 7843565
24174853 7843565
24059797 7848515
63129964 7848515
81764579 7848515
60165319 7897232
53676131 7897232
2875906 7903971
33445091 7911761
84796587 7911761
90891301 7922716
79375749 7923006
81083799 7923006
63391477 7932209
21572623 7932209
44368674 7932209
65697525 7933340
7789942 7933340
88044836 7965133
72987478 7965133
104714440 7965133
70341057 7966930
90995861 7966930
70286736 7972396
56111529 7986672
65044158 7986672
113110545 7986672
64454175 7986990
51002004 7989567
44235489 7991391
13895494 8039587
20693569 8039587
88312396 8054527
83830923 8057648
47256090 8057648
109180420 8057648
20728075 8064289
110154186 8064289
21444773 8065865
95782527 8076405
7830196 8076405
20576812 8076405
85520393 8082779
64810957 8082779
114108196 8082779
1058358 8082779
37871791 8085686
13938363 8092705
4402769 8092705
45864294 8092705
77984563 8104076
16340979 8104076
82647727 8108582
47685431 8108978
105301133 8108978
59054816 8109547
57474857 8120726
55410063 8124304
18414298 8125442
58792327 8145285
43668284 8145285
109564220 8226034
65644694 8234946
68337702 8240613
51155767 8240613
41764782 8240613
17089236 8240613
22267793 8240613
74249506 8240613
48108981 8249056
41008539 8249056
25820563 8249056
4635727 8260604
40603391 8282736
58407905 8293169
112359434 8293169
28902909 8293169
108169039 8293169
7516487 8293169
66826054 8293169
26378072 8293169
85800419 8293169
1739976 8293169
62402757 8293169
75177427 8293169
20811967 8308182
106767204 8308182
39346999 8311450
20422968 8314854
37641162 8314854
36317273 8324670
107121204 8347673
56049689 8348141
17896032 8348141
31814966 8348141
110445191 8348141
46562914 8348141
89924716 8348141
82988944 8351204
52655824 8351204
104682760 8357762
75721952 8357762
72113391 8402858
2653937 8404014
40678601 8404014
108771661 8404014
84789060 8406119
98628767 8406119
26910 8406119
98183631 8406119
110599496 8410985
50994625 8410985
73596075 8423169
62979883 8424546
37550935 8432829
54753387 8432829
59787872 8434083
36447048 8434083
53206479 8434083
101669335 8434083
79649255 8444416
106320556 8448397
63649684 8450042
72306492 8460423
92815564 8480274
66459502 8481878
61595351 8481878
26179154 8481878
102116633 8481878
74369813 8482431
24225756 8486227
95731665 8493811
60014486 8493811
68841175 8493811
91132050 8499069
11971464 8499069
3417898 8499069
106218493 8499069
99690142 8503883
72251301 8509828
85763627 8528780
74605372 8528780
95199710 8557944
86843529 8557944
20858215 8557944
103552594 8557944
29995277 8557944
29891815 8557944
56317866 8577184
97612436 8577184
81994192 8597401
111979043 8607102
98354355 8607102
59351902 8608737
68464655 8608737
78358354 8608737
99308176 8634651
99631062 8634651
39480109 8634651
84995048 8646300
115402409 8651837
94692905 8655490
21052147 8668801
66521779 8681560
36080635 8684683
109933778 8684683
112956276 8718807
100289318 8740765
5054880 8740765
71978525 8740765
33755057 8740765
55193988 8741382
13183423 8758431
77590456 8767056
66696147 8767056
92947012 8771192
39985771 8774024
17082297 8775547
86372587 8788826
16877290 8792087
1693591 8792087
29105439 8792087
81802159 8792087
87168644 8793245
16550467 8795573
15418891 8795573
57792020 8795573
32177573 8795573
86923525 8813580
40904965 8816098
35039461 8847247
113832646 8847247
5597773 8857975
110802209 8859188
68579438 8859188
26348940 8859188
77562875 8862524
39383877 8864600
51258677 8864600
32444770 8864600
12894695 8864600
91418459 8864600
106773625 8897617
43793669 8897617
112856333 8904211
79156216 8907208
101747645 8921801
72428995 8921801
13598476 8921801
18818936 8921801
81113930 8945525
34842448 8945525
49754306 8945525
114063764 8946455
107842921 8950555
99485703 9013850
61664856 9013850
45829426 9013850
88479806 9014759
101273588 9021983
21038710 9022963
61086572 9022963
79984965 9022963
38525481 9022963
80455147 9041892
71670708 9051716
62818620 9068966
22090458 9068966
6913437 9081427
26840568 9081427
80107144 9081427
11553079 9081427
29669737 9081427
97707295 9081427
97224135 9081427
86688283 9105549
70794236 9110107
35766391 9110107
52735703 9110107
13383494 9120425
46365245 9121926
101038520 9125410
43447195 9140048
96742913 9160808
30963943 9161861
57759740 9161861
28488441 9161861
84001897 9161861
52351584 9182875
65746533 9182875
91332947 9186114
93776208 9186114
7831523 9217426
96147777 9217570
82957406 9225063
54558893 9225063
35822149 9240722
49596224 9240722
78043747 9242370
77425070 9242370
97061497 9242370
61503399 9242370
30768792 9253029
78139307 9266929
34825816 9271154
65626125 9273603
104477782 9280180
90029897 9280180
80915935 9283190
32496355 9299352
22609242 9299352
44054955 9299352
30213880 9299352
113510946 9299352
110040478 9299352
10465954 9305456
14312703 9309131
98897850 9309131
40314096 9319041
83243518 9319041
28600719 9348456
110218980 9348456
27009523 9352630
93805993 9356270
28939323 9391412
70962236 9395488
81169930 9395488
108358930 9395488
30123717 9401006
90443461 9401006
11830793 9413167
109321650 9424053
55297522 9424053
14201007 9430994
69199967 9435732
89896136 9448857
57532965 9450888
113256020 9450888
83702297 9503528
17506590 9508081
86119497 9508081
90184405 9508081
38040138 9523261
82458224 9528257
13513169 9528257
61016366 9529718
88573967 9533208
17579434 9555144
108342544 9566540
102917409 9566540
47893328 9566540
64318316 9566540
113083176 9575645
21984444 9581571
72917819 9584938
25276590 9620178
86114209 9629702
109458567 9642545
82363707 9642545
43140226 9649163
13985670 9649163
98226788 9656732
66954844 9656732
21108785 9656732
76325441 9656732
68265573 9656732
63792276 9656732
31956879 9656732
108113030 9656732
100625491 9656732
33313142 9656732
